Frame,Hydrogen,Donor,Acceptor(s),Donor-Hydrogen Distance,Hydrogen-Acceptor(s) Distance(s),Donor-Acceptor(s) Distance(s),Angle(A-H-D)
0,1,0,[np.int64(180)],0.9685650182627217,[np.float64(2.350759757347042)],[np.float64(3.141222080139853)],[np.float64(138.35866384274968)]
0,2,0,,0.9685650182627303,,,
0,4,3,[np.int64(183)],0.9685650182625721,[np.float64(2.3702670859171304)],[np.float64(3.0014816062910255)],[np.float64(122.28701610347309)]
0,5,3,,0.9685650182625685,,,
0,7,6,[np.int64(186)],0.968565018262742,[np.float64(1.9277408131403386)],[np.float64(2.8669596822501555)],[np.float64(162.690014018183)]
0,8,6,[np.int64(3)],0.9685650182627425,[np.float64(2.028692481155944)],[np.float64(2.8210609127781376)],[np.float64(137.65756999398553)]
0,10,9,[np.int64(387)],0.968565018262726,[np.float64(2.100793089332035)],[np.float64(2.9640802160699464)],[np.float64(147.5559176210045)]
0,11,9,,0.9685650182627417,,,
0,13,12,,0.9685650182627628,,,
0,14,12,[np.int64(9)],0.9685650182627461,[np.float64(2.1807411539132207)],[np.float64(3.0685094423317407)],[np.float64(151.77246016497716)]
0,16,15,[np.int64(42)],0.9685650182627188,[np.float64(1.9711960852242811)],[np.float64(2.898193446192509)],[np.float64(159.46339025544708)]
0,17,15,,0.968565018262727,,,
0,19,18,[np.int64(396)],0.9685650182627434,[np.float64(2.0246622253010527)],[np.float64(2.7245870806745156)],[np.float64(127.47084570372692)]
0,20,18,,0.9685650182626436,,,
0,22,21,[np.int64(165)],0.9685650182626762,[np.float64(2.0840917926628757)],[np.float64(2.9990422081148433)],[np.float64(156.87229790142695)]
0,23,21,,0.968565018262772,,,
0,25,24,,0.9685650182627208,,,
0,26,24,[np.int64(402)],0.9685650182627268,[np.float64(2.1590122348605107)],[np.float64(3.0841307937726645)],[np.float64(159.30445357958254)]
0,28,27,,0.9685650182626655,,,
0,29,27,[np.int64(114)],0.9685650182627503,[np.float64(2.27264942859881)],[np.float64(2.9768155927210853)],[np.float64(128.79675846526675)]
0,31,30,,0.9685650182627672,,,
0,32,30,,0.9685650182627478,,,
0,34,33,,0.9685650182625954,,,
0,35,33,,0.9685650182625739,,,
0,37,36,,0.9685650182626451,,,
0,38,36,,0.9685650182627397,,,
0,40,39,,0.9685650182627311,,,
0,41,39,[np.int64(36)],0.9685650182627381,[np.float64(2.062059146912769)],[np.float64(2.949210342973314)],[np.float64(151.4165741384872)]
0,43,42,,0.9685650182625994,,,
0,44,42,,0.9685650182625991,,,
0,46,45,[np.int64(72)],0.9685650182627193,[np.float64(2.3952786835169655)],[np.float64(3.3621392886927897)],[np.float64(175.97157773577734)]
0,47,45,,0.9685650182627327,,,
0,49,48,,0.9685650182627453,,,
0,50,48,[np.int64(39)],0.9685650182627291,[np.float64(2.2121350427140647)],[np.float64(3.0276342216017444)],[np.float64(141.09972452194052)]
0,52,51,,0.9685650182625767,,,
0,53,51,,0.9685650182625732,,,
0,55,54,[np.int64(57)],0.9685650182624909,[np.float64(2.107052527963311)],[np.float64(3.0184082926215057)],[np.float64(156.14679632245276)]
0,56,54,[np.int64(324)],0.968565018262677,[np.float64(2.396072136143326)],[np.float64(3.1943666745577306)],[np.float64(139.41021169205305)]
0,58,57,[np.int64(60)],0.9685650182627248,[np.float64(2.3996029260594867)],[np.float64(3.087965436021765)],[np.float64(127.64908764701985)]
0,59,57,[np.int64(30)],0.96856501826273,[np.float64(2.2827635686009193)],[np.float64(2.957585478721861)],[np.float64(125.98385735679555)]
0,61,60,,0.96856501826276,,,
0,62,60,,0.9685650182626706,,,
0,64,63,,0.9685650182625131,,,
0,65,63,,0.9685650182625992,,,
0,67,66,,0.9685650182626545,,,
0,68,66,[np.int64(39)],0.9685650182627555,[np.float64(2.07454894079511)],[np.float64(2.9676289545373953)],[np.float64(152.51066493893245)]
0,70,69,,0.96856501826274,,,
0,71,69,,0.9685650182626598,,,
0,73,72,,0.9685650182625803,,,
0,74,72,,0.9685650182624927,,,
0,76,75,[np.int64(72)],0.9685650182627292,[np.float64(2.1124759154921673)],[np.float64(2.9549948086271254)],[np.float64(144.49629929768244)]
0,77,75,[np.int64(66)],0.9685650182627353,[np.float64(2.2919228254556807)],[np.float64(3.0066058346843896)],[np.float64(129.91299745186475)]
0,79,78,[np.int64(153)],0.9685650182627396,[np.float64(2.2809645209024088)],[np.float64(3.187484420252218)],[np.float64(155.45167323542358)]
0,80,78,[np.int64(51)],0.9685650182627339,[np.float64(1.9567975995867042)],[np.float64(2.9084043102679527)],[np.float64(166.88101626858284)]
0,82,81,[np.int64(261)],0.9685650182627249,[np.float64(2.2206804830950846)],[np.float64(3.049996842797993)],[np.float64(142.94278179573115)]
0,83,81,,0.9685650182627313,,,
0,85,84,,0.968565018262597,,,
