Frame,Donor,Acceptor,Distance
0,0,180,3.141222080139853
0,3,183,3.0014816062910255
0,6,186,2.8669596822501555
0,6,3,2.8210609127781376
0,9,387,2.9640802160699464
0,12,9,3.0685094423317407
0,15,42,2.898193446192509
0,18,396,2.7245870806745156
0,21,165,2.9990422081148433
0,24,402,3.0841307937726645
0,27,114,2.9768155927210853
0,39,36,2.949210342973314
0,45,72,3.3621392886927897
0,48,39,3.0276342216017444
0,54,57,3.0184082926215057
0,54,324,3.1943666745577306
0,57,60,3.087965436021765
0,57,30,2.957585478721861
0,66,39,2.9676289545373953
0,75,72,2.9549948086271254
0,75,66,3.0066058346843896
0,78,153,3.187484420252218
0,78,51,2.9084043102679527
0,81,261,3.049996842797993
0,87,267,2.9368312748873784
0,90,117,3.0215508304098506
0,93,90,3.053827216595272
0,96,123,2.8501171393070863
0,96,9,3.0280623838150516
0,99,102,3.0177284267841453
0,99,126,3.11939232116333
0,102,246,3.205161587999708
0,102,105,3.1900929058393683
0,105,483,3.1578992702794246
0,108,33,3.0371000887950435
0,114,87,3.2441741038540903
0,114,294,3.0839448079830527
0,120,117,3.0001439220326085
0,129,132,2.8134067577758746
0,135,138,2.945316478771043
0,135,405,3.1718785148908983
0,138,111,2.935463240615841
0,144,414,2.8628161453640995
0,147,120,3.0101628051086284
0,150,147,2.730754962708641
0,153,156,3.0134321151533716
0,156,153,3.0134321151533716
0,156,147,2.983721557997703
0,165,543,3.266033847439045
0,168,24,2.8635000493691636
0,171,549,2.972750362469233
0,171,180,3.1416145380979033
0,174,171,3.1257063560958245
0,177,204,2.923990036325367
0,177,252,2.8553698647231203
0,180,183,2.9951811230305534
0,183,3,3.0014816062910255
0,183,210,3.2094231548789187
0,186,177,3.1326027816569737
0,189,198,2.997611892418865
0,195,168,3.2678066024266195
0,195,51,2.9411634617897824
0,198,171,2.9840994505566387
0,201,192,3.166460610451634
0,204,231,2.958363628430347
0,207,198,3.215102444150446
0,210,213,2.5432385280938488
0,210,237,2.9430777969996282
0,213,288,3.2334653076664237
0,216,219,3.1365097698357682
0,216,486,3.231547265505902
0,222,297,3.075580774475505
0,225,312,2.896155672658137
0,228,201,2.955306625020498
0,234,54,2.8133390277857675
0,234,237,3.144012457453549
0,237,507,3.1876207670338714
0,237,228,2.769603232822453
0,240,213,2.828906023157563
0,246,624,3.276436595619345
0,249,105,2.881816594432828
0,249,246,2.822672583289807
0,252,255,3.1837235714748298
0,252,261,3.1358796314582613
0,258,285,2.952522289536321
0,258,171,3.055729536246253
0,261,639,2.7894604353482233
0,264,291,3.163024438306084
0,267,294,3.252727444238009
0,270,195,3.171906476266143
0,273,270,3.0227551681257636
0,279,252,3.051681667914934
0,279,204,3.0985424159725468
0,282,279,2.990412185722552
0,291,318,2.922734827612827
0,291,282,3.2206775857501304
0,294,321,2.900644682359172
0,294,291,2.7123114695306714
0,297,300,3.185938174590863
0,297,567,3.257256195876712
0,309,282,2.9645274982288594
0,315,318,3.0317168357867788
0,318,315,3.0317168357867788
0,321,591,3.2592839162716944
0,324,333,3.0349121072835588
0,330,510,2.727665670764526
0,330,327,2.7916514830817922
0,333,342,3.2308792410459177
0,333,360,2.925732434258245
0,336,333,3.14937981551882
0,339,366,3.0825356021559216
0,339,414,2.761523036902055
0,342,345,2.925885989061555
0,345,489,3.053011556384482
0,345,372,3.2847762923679333
0,351,378,2.861048165183806
0,354,534,2.861621868405603
0,357,354,3.015321147244176
0,360,369,3.0031309028231394
0,363,360,2.9973114253065156
0,366,357,3.199682530123069
0,369,513,3.17124036263878
0,372,375,2.70325149250854
0,372,363,3.097856190198113
0,378,381,2.944870643257188
0,378,0,3.135056656711327
0,384,459,3.1224237398293955
0,390,363,3.075127079240785
0,399,396,2.963080944941171
0,399,390,2.886041146582568
0,402,477,3.259934835980303
0,402,375,2.934049461537959
0,411,408,2.8153995673170433
0,414,423,3.2347247659216127
0,414,441,2.9160461721306263
0,420,447,2.9992146617358713
0,420,333,2.909614130634923
0,423,153,2.769888798595078
0,423,567,3.012744748155316
0,426,570,2.9653748032601004
0,426,453,3.1410915702837148
0,429,159,3.0555971928692327
0,432,441,3.0819773941299373
0,432,357,2.9519490814101945
0,438,411,3.1230437082506577
0,441,432,3.0819773941299373
0,444,441,2.962416294624337
0,447,438,3.154890175193275
0,447,360,3.0756028166618314
0,450,441,3.0862205509679064
0,453,480,3.0583263885565715
0,456,483,2.870343373403676
0,456,453,2.7033730555147555
0,459,462,3.0022239331599643
0,459,81,3.221051284680033
0,462,435,2.8083202964963117
0,471,444,2.9266691809698147
0,477,480,2.940014052805267
