time_ps,mlp_epot,mlp_ekin,mlp_etot,mha_epot,mha_ekin,mha_etot,conv_epot,conv_ekin,conv_etot,comb_epot,comb_ekin,comb_etot,MACE_epot,MACE_ekin,MACE_etot
0.0,-8826.90862598795,7.64714066619689,-8819.261485321753,-8826.407949356022,7.199652011420978,-8819.208297344601,-8824.664054480972,7.085186673667474,-8817.578867807306,-8825.957389382305,7.479666183583517,-8818.477723198721,-133094.32762056802,8.04914386453366,-133086.27847670348
0.0005,-8826.908230332318,7.646744199149696,-8819.261486133168,-8826.40918138403,7.201881153703921,-8819.207300230326,-8824.667145995083,7.088275763558868,-8817.578870231524,-8825.95932820219,7.481602542027874,-8818.477725660163,-133094.32842662485,8.04994991108011,-133086.27847671378
0.001,-8826.90789595026,7.646420993755515,-8819.261474956505,-8826.411500600758,7.204194265220097,-8819.207306335538,-8824.670377878132,7.091498470114004,-8817.578879408018,-8825.973926214161,7.483642071709416,-8818.490284142452,-133094.32944825327,8.050971528574621,-133086.2784767247
0.0015,-8826.90764763731,7.646170993782929,-8819.261476643527,-8826.413884190502,7.206591158822679,-8819.207293031679,-8824.673727182331,7.094854728868354,-8817.578872453463,-8825.976063398304,7.48578456203537,-8818.490278836269,-133094.33068528186,8.052208545554976,-133086.2784767363
0.002,-8826.907484439793,7.645994154675199,-8819.261490285118,-8826.416371492329,7.209071711548314,-8819.20729978078,-8824.677209285679,7.098344480662973,-8817.578864805017,-8825.978324798527,7.4880375134035715,-8818.490287285123,-133094.33213752846,8.053660779895203,-133086.27847674856
0.0025,-8826.90737429041,7.645890422155825,-8819.261483868253,-8826.415864018383,7.211635809764122,-8819.204228208619,-8824.680835572663,7.1019676463808,-8817.578867926282,-8825.98058107275,7.490400550391279,-8818.49018052236,-133094.33380480035,8.055328038841342,-133086.2784767615
0.003,-8826.907340315762,7.6458597390272915,-8819.261480576735,-8826.43416073698,7.214283232273356,-8819.219877504707,-8824.684598950329,7.10572410941165,-8817.578874840918,-8825.981046525421,7.49287174987568,-8818.488174775546,-133094.33568689413,8.057210119048259,-133086.27847677507
0.0035,-8826.90738764185,7.645902041293312,-8819.261485600557,-8826.436908272686,7.217013784146917,-8819.219894488539,-8824.691895810547,7.109613265285194,-8817.582282545261,-8825.98362895626,7.4954512251708,-8818.48817773109,-133094.33778359595,8.059306806617514,-133086.27847678933
0.004,-8826.907505897465,7.646017250985094,-8819.26148864648,-8826.428538946095,7.21982656334627,-8819.208712382748,-8824.695924607697,7.113635046917761,-8817.58228956078,-8825.986318973484,7.498140636058763,-8818.488178337426,-133094.34009468136,8.061617877136309,-133086.27847680423
0.0045,-8826.907681731167,7.6462053117151525,-8819.261476419451,-8826.431441096249,7.22272140869132,-8819.208719687558,-8824.70006009716,7.117789855355784,-8817.582270241805,-8825.98910847086,7.500939861801265,-8818.48816860906,-133094.3426199155,8.064143095720624,-133086.27847681977
0.005,-8826.907950786534,7.646466150185942,-8819.261484636347,-8826.434414891186,7.225698947417199,-8819.208715943769,-8824.704358962956,7.122077566505125,-8817.582281396451,-8825.992032317105,7.503848808598586,-8818.488183508505,-133094.34535905303,8.066882217058408,-133086.27847683596
0.0055,-8826.908293274822,7.646799691499233,-8819.261493583323,-8826.437485245648,7.22875902782296,-8819.208726217825,-8824.708782342854,7.126498052310016,-8817.582284290544,-8825.989407805386,7.506875310781007,-8818.482532494605,-133094.34831183826,8.06983498544842,-133086.2784768528
0.006,-8826.908684996548,7.647205860966758,-8819.26147913558,-8826.443679479542,7.231901493058647,-8819.211777986484,-8824.713330713692,7.131051187849778,-8817.582279525843,-8825.99255481142,7.510019306454316,-8818.482535504967,-133094.35147800515,8.073001134841125,-133086.2784768703
0.0065,-8826.90917113203,7.647684571083474,-8819.261486560947,-8826.446910408917,7.23512617231963,-8819.211784236597,-8824.718010989609,7.1357368319320775,-8817.582274157678,-8825.995809701863,7.513272710892784,-8818.48253699097,-133094.3548572773,8.076380388882644,-133086.27847688843
0.007,-8826.909717110577,7.648235732455866,-8819.26148137812,-8826.450203327122,7.238432884320783,-8819.211770442802,-8824.720328716221,7.14055423660714,-8817.579774479615,-8825.999180463734,7.516635384851931,-8818.482545078881,-133094.35844936813,8.079972460959592,-133086.27847690717
0.0075,-8826.910330919209,7.648859262886437,-8819.261471656322,-8826.453219441357,7.241821339636717,-8819.211398101721,-8824.725280312481,7.145503273786924,-8817.579777038694,-8826.0016284861,7.520106858684114,-8818.481521627415,-133094.36225398083,8.083777054245026,-133086.27847692659
0.008,-8826.911037711086,7.6495550772139955,-8819.261482633872,-8826.456684259358,7.245291354556637,-8819.211392904801,-8824.730362502518,7.150584398307392,-8817.579778104211,-8826.004710105839,7.523686963383772,-8818.481023142454,-133094.36627080836,8.087793861745261,-133086.2784769466
0.0085,-8826.911801485005,7.6503230680884435,-8819.261478416916,-8826.275168446484,7.248840506394124,-8819.02632794009,-8824.73557963747,7.155797432187995,-8817.579782205283,-8826.008392361584,7.527375899741716,-8818.481016461843,-133094.3704995336,8.092022566347538,-133086.27847696724
0.009,-8826.912647155705,7.651163140551594,-8819.261484015153,-8826.278797892513,7.252468880623818,-8819.02632901189,-8824.74091633934,7.161142228992446,-8817.579774110349,-8826.012442437592,7.531173950344767,-8818.481268487247,-133094.3749398294,8.096462840868671,-133086.27847698855
0.0095,-8826.913557676258,7.652075203138344,-8819.261482473119,-8826.281983641567,7.256178667814888,-8819.025804973753,-8824.741156605663,7.166620016817369,-8817.574536588847,-8826.016355542126,7.535080968093622,-8818.481274574033,-133094.37959135853,8.101114348104863,-133086.27847701043
0.01,-8826.914540080013,7.653059150435949,-8819.261480929577,-8826.285775689068,7.259969669808168,-8819.02580601926,-8824.746768740597,7.1722306251678,-8817.574538115428,-8826.020372477951,7.539096424225271,-8818.481276053726,-133094.38445377382,8.105976740882316,-133086.27847703293
0.0105,-8826.915586618366,7.654114863493891,-8819.261471754873,-8826.289648202839,7.263841719131682,-8819.025806483707,-8824.7525100984,7.177972481821492,-8817.57453761658,-8826.024487403813,7.543220152030648,-8818.481267251782,-133094.38952671818,8.111049662108623,-133086.27847705607
0.011,-8826.916723874989,7.655242227752024,-8819.261481647236,-8826.293601063671,7.2677946025668465,-8819.025806461104,-8824.758395818653,7.1838454070897635,-8817.574550411564,-8826.028726009312,7.547451979902413,-8818.48127402941,-133094.39480982465,8.116332744825153,-133086.27847707982
0.0115,-8826.917921213093,7.6564411407248265,-8819.261480072368,-8826.29763009924,7.271828109233713,-8819.025801990007,-8824.764385429802,7.189849220068599,-8817.574536209733,-8826.03306981701,7.551791770627236,-8818.481278046382,-133094.4003027164,8.121825612260306,-133086.27847710415
0.012,-8826.919194129887,7.657711482083935,-8819.261482647802,-8826.301751522007,7.275942031419358,-8819.025809490588,-8824.770526019516,7.195983699887892,-8817.574542319628,-8826.037504819813,7.556239371570659,-8818.481265448243,-133094.40600500698,8.127527877883619,-133086.2784771291
0.0125,-8826.920532731,7.6590531305089575,-8819.261479600491,-8826.308612612667,7.280136463861456,-8819.028476148806,-8824.776786056938,7.202248615976705,-8817.574537440962,-8826.036640910092,7.56078989171789,-8818.475851018373,-133094.41191630013,8.133439145460684,-133086.27847715467
0.013,-8826.921946553173,7.660465956434774,-8819.261480596739,-8826.300113705578,7.2844099023900135,-8819.015703803188,-8824.783181039276,7.2086437810995125,-8817.574537258177,-8826.044531134548,7.56544336858944,-8818.47908776596,-133094.41803618992,8.13955900910889,-133086.2784771808
0.0135,-8826.923428205433,7.66194982593016,-8819.261478379503,-8826.30447616953,7.288761812098776,-8819.01571435743,-8824.789717463436,7.215168962373433,-8817.574548501063,-8826.050967303696,7.570205447338358,-8818.480761856357,-133094.4243642609,8.14588705335393,-133086.27847720752
0.014,-8826.924988655033,7.6635046166214105,-8819.261484038412,-8826.311159995976,7.293193069389267,-8819.017966926587,-8824.796365407887,7.221823917614939,-8817.574541490272,-8826.055833546105,7.575075725794144,-8818.48075782031,-133094.43090008807,8.152422853186945,-133086.27847723488
0.0145,-8826.926605490627,7.665130201837781,-8819.26147528879,-8826.315658000889,7.2977034297366465,-8819.017954571153,-8824.803149012509,7.228608435767626,-8817.574540576741,-8826.060831455174,7.580052900380984,-8818.480778554793,-133094.43764323692,8.159165974122768,-133086.2784772628
0.015,-8826.928313402119,7.6668264444299545,-8819.261486957688,-8826.320264724674,7.302292865311178,-8819.017971859363,-8824.810068336907,7.235522270134968,-8817.574546066771,-8826.065899042072,7.585136806100244,-8818.480762235973,-133094.44459326356,8.166115972259071,-133086.2784772913
0.0155,-8826.930074719372,7.6685931960706775,-8819.261481523301,-8826.324915317478,7.306961159014138,-8819.017954158464,-8824.817102102223,7.242565180813969,-8817.57453692141,-8826.071091500702,7.590327291592482,-8818.48076420911,-133094.4517497147,8.173272394336061,-133086.27847732036
0.016,-8826.931913761082,7.67043031531095,-8819.26148344577,-8826.323773173275,7.311708345600287,-8819.012064827675,-8824.824281302872,7.24973690390383,-8817.574544398967,-8826.074570445004,7.595623242090353,-8818.478947202913,-133094.4591121278,8.180634777796978,-133086.27847735002
0.0165,-8826.933815506878,7.672337659749669,-8819.261477847129,-8826.328604487362,7.316534186423901,-8819.012070300938,-8824.83157136816,7.257037167034451,-8817.574534201127,-8826.079976347866,7.601024424777044,-8818.478951923089,-133094.46668003107,8.188202650849458,-133086.27847738023
0.017,-8826.935802248898,7.674315067569856,-8819.261487181328,-8826.333499697628,7.321438156848481,-8819.01206154078,-8824.839001206341,7.264465728418928,-8817.574535477923,-8826.085097698155,7.606531588964929,-8818.47856610919,-133094.47445294354,8.19597553252747,-133086.27847741102
0.0175,-8826.937842515888,7.676362389424076,-8819.261480126464,-8826.338482169094,7.3264200245649995,-8819.01206214453,-8824.846566645088,7.2720223180840025,-8817.574544327004,-8826.09035554308,7.612144464148665,-8818.478211078931,-133094.4824303751,8.203952932753687,-133086.27847744233
0.018,-8826.93996491808,7.67847947495257,-8819.261485443127,-8826.339032916012,7.331479544033041,-8819.00755337198,-8824.854247716847,7.279706648712015,-8817.574541068134,-8826.095031408253,7.617862472223471,-8818.47716893603,-133094.49061182665,8.212134352402739,-133086.27847747426
0.0185,-8826.94215300459,7.6806661654789075,-8819.26148683911,-8826.338646201077,7.33661671431522,-8819.00202948676,-8824.862054792824,7.2875184276434615,-8817.57453636518,-8826.102194456043,7.623685538982093,-8818.478508917062,-133094.49899679006,8.220519283365373,-133086.27847750668
0.019,-8826.94440129179,7.682922308213545,-8819.261478983577,-8826.343863634052,7.341831298432185,-8819.00203233562,-8824.870013622227,7.295457351501586,-8817.574556270725,-8826.108128575268,7.629613819979873,-8818.478514755288,-133094.50758474832,8.229107208614241,-133086.27847753972
