time_ps,mlp_force_sum,mha_force_sum,conv_force_sum,comb_force_sum,MACE_force_sum
0.0,1.7811719e-06,2.7071765e-06,8.80052e-07,4.241573e-06,1.4621683598906738e-14
0.0005,1.2783772e-06,4.165241e-06,1.4431835e-06,1.7721735e-06,1.343690960312151e-14
0.001,7.3000484e-07,1.533232e-06,3.2285695e-06,4.3982413e-06,1.0480881692492569e-14
0.0015,2.44597e-06,3.5514581e-06,1.2717597e-06,2.2053719e-06,4.895063839837866e-15
0.002,3.0706517e-06,1.4095782e-06,2.6828711e-06,3.1017332e-06,7.033067890166158e-15
0.0025,3.2966273e-06,4.6809396e-06,3.7079647e-06,5.474874e-06,7.488040733657386e-15
0.003,2.069921e-06,2.9094017e-06,2.1007995e-06,1.0460573e-06,1.7347923084387248e-14
0.0035,1.8525445e-06,3.6900162e-06,2.5673278e-06,9.3865486e-07,1.4006861615608061e-14
0.004,1.441644e-06,2.629369e-06,5.5050464e-06,3.275545e-06,7.0190333181557846e-15
0.0045,1.1135066e-06,3.9842776e-06,1.4167862e-06,3.138172e-06,8.626225714372465e-15
0.005,1.4379427e-06,5.0044073e-06,2.8803602e-06,2.6286932e-06,8.428925511384436e-15
0.0055,1.8905105e-06,3.5196424e-06,3.6103886e-06,1.3965815e-06,1.5224230513075154e-14
0.006,4.5456113e-06,1.5378953e-06,2.4466963e-06,1.8361714e-06,1.4738811749094163e-14
0.0065,2.2214228e-06,3.0075646e-06,3.325063e-06,1.4697108e-06,1.8237419750716083e-14
0.007,1.2573613e-06,2.1711892e-06,1.8982465e-06,2.9151486e-06,1.1230277700137663e-14
0.0075,1.8601997e-06,8.477389e-07,5.9901924e-07,4.607713e-06,1.6222938066341745e-14
0.008,2.91332e-06,2.9211217e-06,1.5588637e-06,1.625798e-06,1.3442870863540723e-14
0.0085,2.3314485e-06,1.1069317e-06,1.8078983e-06,2.8058535e-06,1.1315563869232743e-14
0.009,1.4760426e-06,1.646966e-06,1.7091573e-06,2.4755668e-06,1.0151106134037544e-14
0.0095,2.0929635e-06,1.8633007e-06,3.2258174e-06,3.0833523e-06,9.134241439701826e-15
0.01,3.445231e-06,1.7224221e-06,3.3079236e-06,3.1268303e-06,1.0350708753043372e-14
0.0105,1.9119996e-06,7.6160095e-06,4.370107e-06,1.7691639e-06,1.124179621798647e-14
0.011,2.2085915e-06,1.3595217e-06,3.2031605e-06,1.4155319e-06,6.943999051816924e-15
0.0115,2.506409e-06,7.587896e-07,4.406009e-06,1.564551e-06,1.5369673492262638e-14
0.012,2.1310223e-06,1.5203749e-06,3.4115524e-06,3.3654198e-06,8.219400279898358e-15
0.0125,2.8060117e-06,2.4618532e-06,2.5548431e-06,1.246008e-06,1.781069037157177e-14
0.013,2.563173e-06,3.9822917e-06,3.881631e-06,2.9616972e-06,4.9848890172662694e-15
0.0135,1.372202e-06,3.5296885e-06,1.6015803e-06,9.3865486e-07,8.975657075985904e-15
0.014,1.5043532e-06,4.0969862e-06,1.2735917e-06,5.1138563e-06,8.946083166671348e-15
0.0145,1.6963779e-06,3.1580994e-06,1.9725896e-06,1.7520116e-06,1.6727933351847913e-14
0.015,2.0379211e-06,2.1515575e-06,3.1364732e-06,2.149076e-06,8.906729185356879e-15
0.0155,1.5932401e-06,2.889913e-06,1.0696709e-06,2.6334192e-06,5.461575137144001e-15
