model,test,energy_dev,force_mag_dev,force_dir_cos_sim
mlp,0,23.123820066452026,9.348396301269531,-0.9604776823837171
mlp,1,15.542663335800171,8.671965599060059,-0.9735844192182879
mlp,2,17.083882093429565,7.489126205444336,-0.9510990171235387
mlp,3,23.953510999679565,7.3704657554626465,-0.9773324085160539
mlp,4,24.25606608390808,11.882356643676758,-0.9994923764667517
mlp,5,17.572381734848022,7.190452575683594,-0.9892990126941997
mlp,6,16.113088369369507,23.235347747802734,-0.9050507112969817
mlp,7,17.879414319992065,6.6588850021362305,-0.7901582665320487
mlp,8,19.0709331035614,7.016007900238037,-0.992833941210581
mlp,9,23.72823405265808,10.200759887695312,-0.9993366134087072
mha,0,34.47395181655884,26.3549747467041,-0.9585365953162003
mha,1,28.443031787872314,20.399023056030273,-0.990223171057118
mha,2,26.03063440322876,20.463605880737305,-0.951449414438791
mha,3,3.53773832321167,2.6244957447052,-0.9517061209599268
mha,4,32.58538103103638,26.022377014160156,-0.8596935177578342
mha,5,32.384254932403564,81.54536437988281,-0.9695282075800209
mha,6,38.25708246231079,15.479659080505371,-0.9359863802902293
mha,7,35.3204026222229,30.401691436767578,-0.9341342166898722
mha,8,34.15677881240845,20.02338409423828,-0.9677331508834914
mha,9,25.229626178741455,18.07166290283203,-0.9808066979553848
conv,0,36.82823669910431,9.125655174255371,-0.9912129331012184
conv,1,30.899781346321106,7.1669416427612305,-0.995066884786953
conv,2,31.344021916389465,12.327592849731445,-0.994466608632782
conv,3,29.35620415210724,6.2703680992126465,-0.9906832871481642
conv,4,30.42463982105255,8.956990242004395,-0.9885659367487732
conv,5,22.884516835212708,9.603930473327637,-0.9748159505307463
conv,6,30.77875816822052,8.463330268859863,-0.9339998843656753
conv,7,29.936135411262512,6.3278374671936035,-0.9796647195311958
conv,8,35.5817004442215,10.085746765136719,-0.9995320229296855
conv,9,33.027188420295715,6.262820720672607,-0.9631736309733987
comb,0,70.82224959135056,30.527721405029297,-0.9543345441299099
comb,1,99.5514823794365,54.698936462402344,-0.9989525496429336
comb,2,151.12552565336227,60.83295440673828,-0.9995992127635257
comb,3,87.77735823392868,43.212486267089844,-0.997604007266514
comb,4,69.0507270693779,28.74953842163086,-0.9853125113702889
comb,5,42.10235899686813,34.018775939941406,-0.9916061707331302
comb,6,98.74353712797165,55.99440383911133,-0.9921674178201677
comb,7,120.84710615873337,42.12648010253906,-0.9981391666948309
comb,8,63.71391981840134,46.64114761352539,-0.9998824555165687
comb,9,56.10249251127243,40.141014099121094,-0.998538090580237
MACE,0,544.9936699215905,217.0739832631933,-0.9992232321132182
MACE,1,423.8086043439398,79.18579439908292,-0.9777740655158437
MACE,2,272.66865648925886,49.22507865722376,-0.9985379997298728
MACE,3,332.2765099128592,83.15540218098619,-0.975338269938106
MACE,4,346.50473775996943,70.78563096667061,-0.964757462089501
MACE,5,401.8328599302913,83.7975739620554,-0.9848076774742139
MACE,6,411.48449704411905,87.3302323122838,-0.9985436824162633
MACE,7,387.70356552652083,81.28068053729919,-0.9877365814916177
MACE,8,336.36806058170623,61.48558473874713,-0.9970732750354886
MACE,9,312.7757818851096,67.60359368919818,-0.9879234797109517
