model,test,energy_dev,force_dev
mlp,0,3.5762786865234375e-06,5.984306335449219e-05
mlp,1,1.0132789611816406e-05,5.626678466796875e-05
mlp,2,0.0,4.887580871582031e-05
mlp,3,1.6689300537109375e-06,4.9591064453125e-05
mlp,4,2.1457672119140625e-06,3.6835670471191406e-05
mlp,5,5.364418029785156e-06,6.031990051269531e-05
mlp,6,2.2649765014648438e-06,5.221366882324219e-05
mlp,7,2.384185791015625e-06,3.337860107421875e-05
mlp,8,4.410743713378906e-06,6.026029586791992e-05
mlp,9,1.2040138244628906e-05,5.120038986206055e-05
mha,0,4.5299530029296875e-06,8.404254913330078e-05
mha,1,1.430511474609375e-06,4.3392181396484375e-05
mha,2,9.5367431640625e-07,9.334087371826172e-05
mha,3,6.079673767089844e-06,8.392333984375e-05
mha,4,6.318092346191406e-06,3.954768180847168e-05
mha,5,1.7404556274414062e-05,6.443262100219727e-05
mha,6,2.86102294921875e-06,9.453296661376953e-05
mha,7,9.5367431640625e-07,0.00010091066360473633
mha,8,1.704692840576172e-05,6.186962127685547e-05
mha,9,3.814697265625e-06,8.26716423034668e-05
conv,0,1.7285346984863281e-06,4.00543212890625e-05
conv,1,4.172325134277344e-06,5.14984130859375e-05
conv,2,1.1086463928222656e-05,6.318092346191406e-05
conv,3,1.0013580322265625e-05,0.00014019012451171875
conv,4,5.364418029785156e-06,7.033348083496094e-05
conv,5,9.834766387939453e-06,8.118152618408203e-05
conv,6,5.364418029785156e-07,5.125999450683594e-05
conv,7,9.59634780883789e-06,6.139278411865234e-05
conv,8,5.125999450683594e-06,4.673004150390625e-05
conv,9,1.430511474609375e-06,5.9604644775390625e-05
comb,0,1.6689300537109375e-06,7.867813110351562e-05
comb,1,7.68899917602539e-06,7.271766662597656e-05
comb,2,1.0251998901367188e-05,0.00014930963516235352
comb,3,1.7285346984863281e-06,6.186962127685547e-05
comb,4,1.8894672393798828e-05,8.320808410644531e-05
comb,5,9.119510650634766e-06,7.796287536621094e-05
comb,6,4.172325134277344e-07,0.00010734796524047852
comb,7,4.410743713378906e-06,7.355213165283203e-05
comb,8,9.834766387939453e-06,7.534027099609375e-05
comb,9,2.5033950805664062e-06,0.00015336275100708008
MACE,0,0.0,1.4210854715202004e-13
MACE,1,0.0,1.412203687323199e-13
MACE,2,0.0,2.05613304160579e-13
MACE,3,0.0,2.0250467969162855e-13
MACE,4,0.0,1.0591527654923993e-13
MACE,5,0.0,1.4210854715202004e-13
MACE,6,0.0,1.0391687510491465e-13
MACE,7,0.0,1.8784973576657649e-13
MACE,8,0.0,1.4288570326925765e-13
MACE,9,0.0,1.5987211554602254e-13
