O index,O index,distance
0,0,0.0
0,9,2.8990886674779195
3,3,0.0
3,6,2.8210609127781376
6,3,2.8210609127781376
6,6,0.0
6,186,2.8669596822501555
6,384,2.694508932050608
9,0,2.8990886674779195
9,9,0.0
9,36,2.909889601810414
9,387,2.9640802160699464
12,12,0.0
12,390,2.898671076262064
15,15,0.0
15,42,2.898193446192509
15,90,2.913979656152527
18,18,0.0
18,396,2.7245870806745156
21,21,0.0
21,165,2.9990422081148433
24,24,0.0
24,168,2.8635000493691636
27,27,0.0
27,54,2.7784162364392926
27,114,2.9768155927210853
30,30,0.0
30,57,2.957585478721861
33,33,0.0
36,9,2.909889601810414
36,36,0.0
36,39,2.949210342973314
36,45,2.977361307822144
36,123,2.989655130837646
39,36,2.949210342973314
39,39,0.0
39,66,2.9676289545373953
42,15,2.898193446192509
42,42,0.0
42,69,2.7979307888552563
45,36,2.977361307822144
45,45,0.0
48,48,0.0
48,51,2.568344079561585
48,75,2.889004434228576
51,48,2.568344079561585
51,51,0.0
51,78,2.9084043102679527
51,195,2.9411634617897824
54,27,2.7784162364392926
54,54,0.0
54,63,2.9940239255923746
54,234,2.8133390277857675
57,30,2.957585478721861
57,57,0.0
60,60,0.0
60,330,2.656206950685512
63,54,2.9940239255923746
63,63,0.0
63,333,2.8271716990361
66,39,2.9676289545373953
66,66,0.0
66,69,2.7374407707957116
66,336,2.9724074514636536
69,42,2.7979307888552563
69,66,2.7374407707957116
69,69,0.0
69,78,2.8479789470465544
72,72,0.0
72,75,2.9549948086271254
72,216,2.895165890639017
72,342,2.785942367299378
75,48,2.889004434228576
75,72,2.9549948086271254
75,75,0.0
75,219,2.9806525633382908
78,51,2.9084043102679527
78,69,2.8479789470465544
78,78,0.0
78,348,2.9322034930609533
81,81,0.0
84,84,0.0
84,87,2.7731072935776573
87,84,2.7731072935776573
87,87,0.0
87,267,2.9368312748873784
87,465,2.660348621400385
90,15,2.913979656152527
90,90,0.0
90,468,2.7980058293029972
93,93,0.0
93,471,2.975565267457461
96,96,0.0
96,123,2.8501171393070863
99,99,0.0
99,477,2.7628448586866448
102,102,0.0
105,105,0.0
105,249,2.881816594432828
108,108,0.0
108,135,2.820007675514942
111,111,0.0
111,138,2.935463240615841
114,27,2.9768155927210853
114,114,0.0
117,117,0.0
117,126,2.9275887768512234
120,120,0.0
123,36,2.989655130837646
123,96,2.8501171393070863
123,123,0.0
126,117,2.9275887768512234
126,126,0.0
129,129,0.0
129,132,2.8134067577758746
129,273,2.930905103047663
132,129,2.8134067577758746
132,132,0.0
132,159,2.842817177556111
135,108,2.820007675514942
135,135,0.0
135,138,2.945316478771043
135,315,2.767776909052202
138,111,2.935463240615841
138,135,2.945316478771043
138,138,0.0
141,141,0.0
141,411,2.756930007615891
144,144,0.0
144,414,2.8628161453640995
147,147,0.0
147,150,2.730754962708641
147,156,2.983721557997703
147,417,2.9242623990762637
150,147,2.730754962708641
150,150,0.0
150,159,2.760546991078973
153,153,0.0
153,297,2.862268183647401
153,423,2.769888798595078
156,147,2.983721557997703
156,156,0.0
156,300,2.9808426247836146
159,132,2.842817177556111
159,150,2.760546991078973
159,159,0.0
162,162,0.0
165,21,2.9990422081148433
165,165,0.0
165,168,2.692611244039693
168,24,2.8635000493691636
168,165,2.692611244039693
168,168,0.0
168,546,2.7528535799902416
171,171,0.0
171,198,2.9840994505566387
171,549,2.972750362469233
174,174,0.0
174,552,2.887784895767573
177,177,0.0
177,204,2.923990036325367
177,252,2.8553698647231203
180,180,0.0
180,183,2.9951811230305534
180,558,2.6775860539752685
183,180,2.9951811230305534
183,183,0.0
186,6,2.8669596822501555
186,186,0.0
186,261,2.993658742807281
189,189,0.0
189,198,2.997611892418865
189,216,2.895015967239337
192,192,0.0
192,219,2.8067800022384004
195,51,2.9411634617897824
195,195,0.0
198,171,2.9840994505566387
198,189,2.997611892418865
198,198,0.0
198,285,2.888090476423492
201,201,0.0
201,228,2.955306625020498
204,177,2.923990036325367
204,204,0.0
204,231,2.958363628430347
207,207,0.0
210,210,0.0
210,213,2.5432385280938488
210,237,2.9430777969996282
213,210,2.5432385280938488
213,213,0.0
213,240,2.828906023157563
216,72,2.895165890639017
216,189,2.895015967239337
216,216,0.0
216,225,2.9885513298744915
219,75,2.9806525633382908
219,192,2.8067800022384004
219,219,0.0
222,222,0.0
222,492,2.755059293582252
225,216,2.9885513298744915
225,225,0.0
225,312,2.896155672658137
228,201,2.955306625020498
228,228,0.0
228,237,2.769603232822453
228,498,2.9432198426238627
231,204,2.958363628430347
231,231,0.0
231,240,2.682327906245543
234,54,2.8133390277857675
234,234,0.0
234,504,2.7720582189098892
237,210,2.9430777969996282
237,228,2.769603232822453
237,237,0.0
240,213,2.828906023157563
240,231,2.682327906245543
240,240,0.0
243,243,0.0
246,246,0.0
246,249,2.822672583289807
249,105,2.881816594432828
249,246,2.822672583289807
249,249,0.0
249,627,2.703814883678877
252,177,2.8553698647231203
252,252,0.0
252,630,2.781882029673819
255,255,0.0
255,264,2.9949748867725843
255,633,2.972695769123404
258,258,0.0
258,285,2.952522289536321
261,186,2.993658742807281
261,261,0.0
261,639,2.7894604353482233
264,255,2.9949748867725843
264,264,0.0
267,87,2.9368312748873784
267,267,0.0
270,270,0.0
270,297,2.7366519394535094
273,129,2.930905103047663
273,273,0.0
273,300,2.926850561603658
276,276,0.0
279,279,0.0
279,282,2.990412185722552
279,288,2.9089618702902116
282,279,2.990412185722552
282,282,0.0
282,309,2.9645274982288594
285,198,2.888090476423492
285,258,2.952522289536321
285,285,0.0
285,312,2.988474211757203
288,279,2.9089618702902116
288,288,0.0
291,291,0.0
291,294,2.7123114695306714
291,318,2.922734827612827
294,291,2.7123114695306714
294,294,0.0
294,321,2.900644682359172
297,153,2.862268183647401
297,270,2.7366519394535094
297,297,0.0
297,306,2.968364482271882
300,156,2.9808426247836146
300,273,2.926850561603658
300,300,0.0
303,303,0.0
303,573,2.699634710469519
306,297,2.968364482271882
306,306,0.0
306,576,2.806133658859546
309,282,2.9645274982288594
309,309,0.0
309,312,2.8097466491294583
309,318,2.811098596754427
309,579,2.98628777035197
312,225,2.896155672658137
312,285,2.988474211757203
312,309,2.8097466491294583
312,312,0.0
312,321,2.666199799812266
315,135,2.767776909052202
315,315,0.0
315,585,2.720252289404159
318,291,2.922734827612827
318,309,2.811098596754427
318,318,0.0
321,294,2.900644682359172
321,312,2.666199799812266
321,321,0.0
324,324,0.0
324,411,2.9890501698652603
327,327,0.0
327,330,2.7916514830817922
330,60,2.656206950685512
330,327,2.7916514830817922
330,330,0.0
330,510,2.727665670764526
333,63,2.8271716990361
333,333,0.0
333,360,2.925732434258245
333,420,2.909614130634923
336,66,2.9724074514636536
336,336,0.0
339,339,0.0
339,414,2.761523036902055
342,72,2.785942367299378
342,342,0.0
342,345,2.925885989061555
342,486,2.9906538022323157
345,342,2.925885989061555
345,345,0.0
348,78,2.9322034930609533
348,348,0.0
348,492,2.842063466120579
351,351,0.0
351,378,2.861048165183806
351,438,2.916251561128253
354,354,0.0
354,381,2.812556659271018
354,534,2.861621868405603
357,357,0.0
357,432,2.9519490814101945
360,333,2.925732434258245
360,360,0.0
360,363,2.9973114253065156
363,360,2.9973114253065156
363,363,0.0
366,366,0.0
366,393,2.9124819056330438
369,369,0.0
372,372,0.0
372,375,2.70325149250854
375,372,2.70325149250854
375,375,0.0
375,402,2.934049461537959
378,351,2.861048165183806
378,378,0.0
378,381,2.944870643257188
378,387,2.879024190528896
378,558,2.814100664211651
381,354,2.812556659271018
381,378,2.944870643257188
381,381,0.0
384,6,2.694508932050608
384,384,0.0
387,9,2.9640802160699464
387,378,2.879024190528896
387,387,0.0
390,12,2.898671076262064
390,390,0.0
390,393,2.8657046687457126
390,399,2.886041146582568
393,366,2.9124819056330438
393,390,2.8657046687457126
393,393,0.0
393,402,2.7487601115262446
396,18,2.7245870806745156
396,396,0.0
396,399,2.963080944941171
396,540,2.907001663305228
399,390,2.886041146582568
399,396,2.963080944941171
399,399,0.0
402,375,2.934049461537959
402,393,2.7487601115262446
402,402,0.0
405,405,0.0
408,408,0.0
408,411,2.8153995673170433
411,141,2.756930007615891
411,324,2.9890501698652603
411,408,2.8153995673170433
411,411,0.0
411,591,2.8748914465937925
414,144,2.8628161453640995
414,339,2.761523036902055
414,414,0.0
414,441,2.9160461721306263
417,147,2.9242623990762637
417,417,0.0
417,426,2.9759084612172275
420,333,2.909614130634923
420,420,0.0
420,447,2.9992146617358713
423,153,2.769888798595078
423,423,0.0
426,417,2.9759084612172275
426,426,0.0
426,570,2.9653748032601004
429,429,0.0
429,573,2.8847671892380116
432,357,2.9519490814101945
432,432,0.0
432,459,2.8522803131828454
435,435,0.0
435,462,2.8083202964963117
435,615,2.978231725513411
438,351,2.916251561128253
438,438,0.0
441,414,2.9160461721306263
441,441,0.0
441,444,2.962416294624337
444,441,2.962416294624337
444,444,0.0
444,471,2.9266691809698147
447,420,2.9992146617358713
447,447,0.0
447,474,2.8206325350153243
450,450,0.0
453,453,0.0
453,456,2.7033730555147555
456,453,2.7033730555147555
456,456,0.0
456,483,2.870343373403676
459,432,2.8522803131828454
459,459,0.0
459,468,2.9175199889507306
459,639,2.828789876873937
462,435,2.8083202964963117
462,462,0.0
465,87,2.660348621400385
465,465,0.0
468,90,2.7980058293029972
468,459,2.9175199889507306
468,468,0.0
471,93,2.975565267457461
471,444,2.9266691809698147
471,471,0.0
471,474,2.826655369859959
471,480,2.889730930016117
474,447,2.8206325350153243
474,471,2.826655369859959
474,474,0.0
474,483,2.7819226829828003
477,99,2.7628448586866448
477,477,0.0
477,480,2.940014052805267
477,621,2.780444850041961
480,471,2.889730930016117
480,477,2.940014052805267
480,480,0.0
483,456,2.870343373403676
483,474,2.7819226829828003
483,483,0.0
486,342,2.9906538022323157
486,486,0.0
489,489,0.0
489,492,2.908881156260513
492,222,2.755059293582252
492,348,2.842063466120579
492,489,2.908881156260513
492,492,0.0
492,567,2.9178208051175467
495,495,0.0
495,522,2.8521602901853753
495,582,2.758074308789373
498,228,2.9432198426238627
498,498,0.0
498,507,2.9819111288249567
501,501,0.0
501,528,2.9651850456259936
504,234,2.7720582189098892
504,504,0.0
507,498,2.9819111288249567
507,507,0.0
510,330,2.727665670764526
510,510,0.0
513,513,0.0
513,540,2.7565680175429184
513,600,2.975580198668056
516,516,0.0
516,543,2.9016133665898813
519,519,0.0
522,495,2.8521602901853753
522,522,0.0
522,531,2.9880694973166646
525,525,0.0
528,501,2.9651850456259936
528,528,0.0
528,555,2.8599232898462623
528,603,2.882490541116059
531,522,2.9880694973166646
531,531,0.0
534,354,2.861621868405603
534,534,0.0
534,537,2.834822344621137
537,534,2.834822344621137
537,537,0.0
537,564,2.861481551741191
540,396,2.907001663305228
540,513,2.7565680175429184
540,540,0.0
540,543,2.8203147814614287
540,549,2.9475808527403067
543,516,2.9016133665898813
543,540,2.8203147814614287
543,543,0.0
546,168,2.7528535799902416
546,546,0.0
549,171,2.972750362469233
549,540,2.9475808527403067
549,549,0.0
552,174,2.887784895767573
552,552,0.0
552,555,2.9657830248541073
552,561,2.7763928669885223
555,528,2.8599232898462623
555,552,2.9657830248541073
555,555,0.0
555,564,2.7485682083478515
558,180,2.6775860539752685
558,378,2.814100664211651
558,558,0.0
561,552,2.7763928669885223
561,561,0.0
561,564,2.946299179106541
564,537,2.861481551741191
564,555,2.7485682083478515
564,561,2.946299179106541
564,564,0.0
567,492,2.9178208051175467
567,567,0.0
570,426,2.9653748032601004
570,570,0.0
570,573,2.7690217599276266
573,303,2.699634710469519
573,429,2.8847671892380116
573,570,2.7690217599276266
573,573,0.0
576,306,2.806133658859546
576,576,0.0
576,603,2.984407788527702
579,309,2.98628777035197
579,579,0.0
582,495,2.758074308789373
582,582,0.0
582,609,2.994085691214537
585,315,2.720252289404159
585,585,0.0
588,588,0.0
591,411,2.8748914465937925
591,591,0.0
594,594,0.0
594,621,2.8088492835080983
597,597,0.0
597,624,2.8797269195004853
600,513,2.975580198668056
600,600,0.0
603,528,2.882490541116059
603,576,2.984407788527702
603,603,0.0
603,612,2.9743507353955243
606,606,0.0
606,633,2.9360014720264904
609,582,2.994085691214537
609,609,0.0
609,636,2.850120328198816
612,603,2.9743507353955243
612,612,0.0
615,435,2.978231725513411
615,615,0.0
615,618,2.8102448697546305
618,615,2.8102448697546305
618,618,0.0
618,645,2.835583068288675
621,477,2.780444850041961
621,594,2.8088492835080983
621,621,0.0
621,630,2.972479880520713
624,597,2.8797269195004853
624,624,0.0
627,249,2.703814883678877
627,627,0.0
630,252,2.781882029673819
630,621,2.972479880520713
630,630,0.0
633,255,2.972695769123404
633,606,2.9360014720264904
633,633,0.0
633,636,2.812117985789968
633,642,2.83261448499836
636,609,2.850120328198816
636,633,2.812117985789968
636,636,0.0
636,645,2.7642493356800233
639,261,2.7894604353482233
639,459,2.828789876873937
639,639,0.0
642,633,2.83261448499836
642,642,0.0
645,618,2.835583068288675
645,636,2.7642493356800233
