Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           35.662       35.536        0.126     2.3
0.0020           35.724       35.531        0.194     3.5
0.0040           35.789       35.519        0.270     4.8
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           35.660       35.536        0.124     2.2
0.0020           35.727       35.533        0.194     3.5
0.0040           35.800       35.524        0.276     4.9
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           27.698      -31.465       59.163  1059.5
0.0020           27.534      -33.573       61.107  1094.3
0.0040           27.419      -35.037       62.456  1118.5
0.0060           27.369      -35.490       62.859  1125.7
0.0080           27.227      -34.981       62.208  1114.0
0.0100           27.172      -33.762       60.934  1091.2
0.0120           27.045      -32.081       59.126  1058.8
0.0140           27.048      -30.198       57.246  1025.2
0.0160           26.906      -28.389       55.295   990.2
0.0180           26.648      -26.996       53.644   960.7
0.0200           26.536      -26.329       52.865   946.7
0.0220           26.429      -26.718       53.148   951.8
0.0240           26.328      -28.408       54.736   980.2
0.0260           26.153      -31.329       57.483  1029.4
0.0280           25.988      -35.033       61.021  1092.8
0.0300           25.462      -38.866       64.329  1152.0
0.0320           25.296      -42.254       67.550  1209.7
0.0340           25.157      -44.841       69.998  1253.5
0.0360           24.791      -46.332       71.123  1273.7
0.0380           24.449      -46.628       71.077  1272.9
0.0400           24.117      -46.021       70.138  1256.0
0.0420           23.971      -45.104       69.075  1237.0
0.0440           23.877      -44.503       68.379  1224.5
0.0460           23.619      -44.517       68.136  1220.2
0.0480           23.529      -45.027       68.556  1227.7
0.0500           23.397      -45.692       69.090  1237.3
0.0520           23.386      -46.159       69.545  1245.4
0.0540           23.145      -46.215       69.360  1242.1
0.0560           22.975      -45.892       68.867  1233.3
0.0580           22.824      -45.462       68.286  1222.9
0.0600           22.402      -45.205       67.607  1210.7
0.0620           21.902      -45.121       67.022  1200.3
0.0640           21.563      -44.957       66.520  1191.2
0.0660           21.610      -44.441       66.051  1182.9
0.0680           21.381      -43.514       64.896  1162.2
0.0700           21.335      -42.347       63.682  1140.4
0.0720           21.253      -41.152       62.406  1117.6
0.0740           21.177      -40.106       61.283  1097.5
0.0760           21.134      -39.340       60.474  1083.0
0.0780           21.014      -38.907       59.920  1073.1
0.0800           20.968      -38.825       59.794  1070.8
0.0820           20.577      -39.116       59.693  1069.0
0.0840           20.403      -39.727       60.129  1076.8
0.0860           19.973      -40.533       60.505  1083.5
0.0880           19.615      -41.377       60.992  1092.3
0.0900           19.529      -42.148       61.678  1104.5
0.0920           19.311      -42.806       62.117  1112.4
0.0940           19.233      -43.423       62.656  1122.1
0.0960           19.126      -44.112       63.239  1132.5
0.0980           19.002      -44.927       63.928  1144.8
0.1000           18.772      -45.829       64.601  1156.9
0.1020           18.442      -46.686       65.128  1166.3
0.1040           18.274      -47.342       65.616  1175.1
0.1060           18.184      -47.724       65.908  1180.3
0.1080           17.870      -47.887       65.757  1177.6
0.1100           17.631      -47.899       65.530  1173.5
0.1120           17.345      -47.690       65.034  1164.6
0.1140           17.218      -47.133       64.351  1152.4
0.1160           17.236      -46.158       63.394  1135.3
0.1180           17.120      -44.909       62.029  1110.8
0.1200           17.063      -43.704       60.767  1088.2
0.1220           16.828      -42.874       59.702  1069.2
0.1240           16.694      -42.626       59.320  1062.3
0.1260           16.329      -42.958       59.287  1061.7
0.1280           16.220      -43.687       59.907  1072.8
0.1300           16.042      -44.575       60.617  1085.5
0.1320           15.874      -45.471       61.346  1098.6
0.1340           15.580      -46.218       61.798  1106.7
0.1360           15.451      -46.664       62.116  1112.4
0.1380           15.272      -46.739       62.011  1110.5
0.1400           15.091      -46.511       61.602  1103.2
0.1420           14.844      -46.152       60.996  1092.3
0.1440           14.832      -45.864       60.696  1087.0
0.1460           14.564      -45.783       60.347  1080.7
0.1480           14.442      -45.940       60.382  1081.3
0.1500           14.084      -46.246       60.330  1080.4
0.1520           13.960      -46.556       60.516  1083.7
0.1540           13.821      -46.750       60.570  1084.7
0.1560           13.631      -46.676       60.307  1080.0
0.1580           13.470      -46.223       59.693  1069.0
0.1600           13.325      -45.429       58.753  1052.2
0.1620           13.331      -44.526       57.857  1036.1
0.1640           13.179      -43.788       56.966  1020.2
0.1660           13.003      -43.402       56.405  1010.1
0.1680           12.877      -43.456       56.333  1008.8
0.1700           12.826      -43.827       56.653  1014.6
0.1720           12.639      -44.327       56.966  1020.2
0.1740           12.484      -44.746       57.230  1024.9
0.1760           12.311      -45.018       57.329  1026.7
0.1780           12.146      -45.214       57.360  1027.2
0.1800           11.888      -45.474       57.362  1027.2
0.1820           11.732      -45.824       57.556  1030.7
0.1840           11.544      -46.171       57.716  1033.6
0.1860           11.398      -46.415       57.812  1035.3
0.1880           11.245      -46.623       57.869  1036.3
0.1900           10.997      -46.933       57.929  1037.4
0.1920           10.876      -47.392       58.268  1043.5
0.1940           10.580      -47.916       58.496  1047.6
